,int,load_north,load_sout,int_2,Wind_north,Solar_north,Wind_south,Solar_south
0 days 02:00:00,1.5,16298.88,35445.119999999995,1.5,0.5449999999999999,0.0,0.46499999999999997,0.0
0 days 03:30:00,3.0,15186.420000000002,41059.58,3.0,0.4,0.03,0.33,0.0
0 days 05:00:00,4.5,21328.265,50997.735,4.5,0.28500000000000003,0.185,0.16499999999999998,0.075
0 days 06:30:00,6.0,22447.5,52377.5,6.0,0.22,0.31,0.12,0.23
0 days 08:00:00,7.5,22432.760000000002,48954.24,7.5,0.235,0.29000000000000004,0.11499999999999999,0.16499999999999998
0 days 09:30:00,9.0,24780.9,48104.1,9.0,0.2,0.09,0.17,0.04
0 days 11:00:00,10.5,20955.120000000003,45755.880000000005,10.5,0.13,0.0,0.14,0.0
0 days 12:30:00,12.0,20171.55,37461.45,12.0,0.06,0.0,0.05,0.0
0 days 14:00:00,13.5,17707.4,30124.1,13.5,0.07500000000000001,0.0,0.07500000000000001,0.0
0 days 15:30:00,15.0,20102.16,39021.84,15.0,0.13,0.03,0.11,0.04
0 days 17:00:00,16.5,25682.75,41926.25,16.5,0.16999999999999998,0.19,0.16,0.28500000000000003
0 days 18:30:00,18.0,23438.24,45497.759999999995,18.0,0.29,0.32,0.21,0.45
0 days 20:00:00,19.5,20418.27,45400.729999999996,19.5,0.405,0.20500000000000002,0.33999999999999997,0.4
0 days 21:30:00,21.0,21009.120000000003,42654.88,21.0,0.36,0.04,0.32,0.15
0 days 23:00:00,22.5,18851.23,40958.770000000004,22.5,0.255,0.0,0.155,0.005
