,total load,north,south,Wind_north,Solar_north,Wind_south,Solar_south
0 days 00:00:00,44774.2,14379.6,30394.6,0.43,0.0,0.315,0.0
0 days 01:30:00,43763.1,13789.9,29973.2,0.39,0.0,0.28,0.0
0 days 03:00:00,45137.8,14153.9,30983.9,0.345,0.0,0.22,0.0
0 days 04:30:00,49783.8,17161.9,32621.9,0.3,0.0,0.14,0.01
0 days 06:00:00,56330.0,18808.2,37521.7,0.235,0.065,0.09,0.135
0 days 07:30:00,60427.2,21544.9,38882.3,0.22,0.27,0.05,0.39
0 days 09:00:00,62540.8,22245.1,40295.7,0.215,0.405,0.075,0.47
0 days 10:30:00,63503.5,20230.8,43272.7,0.2,0.44,0.13,0.47
0 days 12:00:00,61904.6,21542.8,40361.8,0.18,0.38,0.14500000000000002,0.325
0 days 13:30:00,60058.5,19811.9,40246.7,0.15,0.21,0.16,0.15
0 days 15:00:00,59380.1,18444.9,40935.2,0.11499999999999999,0.08,0.135,0.06
0 days 16:30:00,60742.4,19799.5,40942.9,0.08,0.01,0.11,0.02
0 days 18:00:00,60242.8,19702.6,40540.2,0.1,0.0,0.095,0.0
0 days 19:30:00,56622.8,19641.1,36981.8,0.09,0.0,0.13,0.0
0 days 21:00:00,52262.7,16586.3,35676.3,0.07500000000000001,0.0,0.14500000000000002,0.0
0 days 22:30:00,47629.6,15000.4,32629.2,0.07,0.0,0.15,0.0
